Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $343/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0x3e7a0257dbe6944d3e5de1c6bfa9d56c279b8ffa77cf1cf7c289435619d3205e,14283404,1641938282,1/11/2022 21:58,0x43e963487cd3599e8f58cfe9e34b2eed59451e97,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00161216,0.55297088,463.38,,,Deposit
0xf95a1985eb55bc56c7a2f8de623ba8ebce58b93814f2143d6bc05b914d6b0acb,14283415,1641938315,1/11/2022 21:58,0x2a479056fac97b62806cc740b11774e6598b1649,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00079894,0.27403642,463.38,,,Deposit
0x97616865d3c2636727a30988d5f3bb6635711fa6724622512f6b6e927d76d2ab,14283421,1641938333,1/11/2022 21:58,0x49ae3f1423d5ac1d3846921ecc93f4f78161cd99,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0xac76d36da41cb1ba501a86758a0917ed084bbafb5c8c6c57027e5c59b18db7d4,14283429,1641938357,1/11/2022 21:59,0x16441cc86ba6a0cca141ad6091eeccb19443f6f5,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0x0d7a4fdeae7b63df10704581118c229060fc7d4b744a0d1241eedba04c65df4a,14283439,1641938387,1/11/2022 21:59,0x2a479056fac97b62806cc740b11774e6598b1649,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00079894,0.27403642,463.38,,,Deposit
0x83bf2cf79a266cddd0fd57720030154a5178a4b16c918bce52de2441dc231ec8,14283441,1641938393,1/11/2022 21:59,0x2a479056fac97b62806cc740b11774e6598b1649,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00079894,0.27403642,463.38,,,Deposit
0x0f70236d8ce5c3c903543b691932c04f0763511269462bbb526cadf12a4c3dd3,14283441,1641938393,1/11/2022 21:59,0x73187fdffc76559cbebe05d6258af35d64b67743,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000108835,0.037330405,463.38,,,Mass Harvest
0x1cf33e5c4f26078cd1220365a6e8f64545c1eb68fbaa9799d16c15f12c0b9aba,14283442,1641938396,1/11/2022 21:59,0x2a479056fac97b62806cc740b11774e6598b1649,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00079894,0.27403642,463.38,,,Deposit
0x40cc60381c4d4e6d5558123b16c75a5c97f294cb78ae0b1743eefe3871cf18d3,14283467,1641938471,1/11/2022 22:01,0x3b47d968242d2730bbfd98b3b8a46500de97877e,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0x0ca70e0ee5159bedaa861aee3f081bc344eea1e316556b7d39d2ca562b424b09,14283469,1641938477,1/11/2022 22:01,0x3b47d968242d2730bbfd98b3b8a46500de97877e,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000108835,0.037330405,463.38,,,Mass Harvest
0xa63bd0b18126676d9fe55bcec6a9c0bedcc1f0ba38c33df3cf8db1c7d5e2dc34,14283476,1641938498,1/11/2022 22:01,0xb2a22ff1de481366776c35b987d7e0861fa3bb31,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000108835,0.037330405,463.38,,,Mass Harvest
0x5ad0af17744f091abb1e555aaf4315ea63ea2454422d4122531fa36a4bd464b7,14283484,1641938522,1/11/2022 22:02,0x3e622a7b1d22fb9079e1d9133515bfed8b93f107,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.001558625,0.534608375,463.38,,,Withdraw
0x531f462c3e03fbb0930482139feff0bc258ffc59dbdfbcef6aa1a1bfb9a184ce,14283503,1641938579,1/11/2022 22:02,0xb2a22ff1de481366776c35b987d7e0861fa3bb31,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0xca82b6fd91266a241b334764f7291a0354155d8e935bc12da7d9ff654baa8e02,14283523,1641938639,1/11/2022 22:03,0xb2a22ff1de481366776c35b987d7e0861fa3bb31,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000108835,0.037330405,463.38,,,Mass Harvest
0xf3f32ebfaf640d79335c87e6ec23ee786793177f2e55226ae1fe8f00b5e14d58,14283526,1641938648,1/11/2022 22:04,0xfecaf0d5551a0a9fcc58d2d30aeaf6f7ea965609,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0xc3dbdb84ce271d4b6e98445f2e210315dc2b282ec2649329c6570c6788d10bec,14283591,1641938843,1/11/2022 22:07,0x69bc73707a9e91a49dac9847369340e6c8545dae,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0xd503b5a4fea55a6e70d89100dcf0920c53ad212baf01a8869476ccff4476f8a5,14283603,1641938879,1/11/2022 22:07,0x0ce390ec4533d9afbb7280037d61b8c8dcaa6696,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0xde581fc519736a4f32c09a4a90ee259034c81ea72c3880ba650bc335c23c7c78,14283619,1641938927,1/11/2022 22:08,0x87ae174c210e0100acd43d04d9c23c7b5d50d417,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0x678f12a963e390ff34dfc51b7108dd516771816cb7e028090a3e5dfb374799c8,14283657,1641939041,1/11/2022 22:10,0xa395a37cc73ce936cd1c84d7ad31c699bfd59475,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000892,0.305956,463.38,,,Deposit
0x69f6800220119ff4a6e7b50cd28363b88850d4529bccee218e50f31b43b9330e,14283672,1641939086,1/11/2022 22:11,0x6c428b4a5f1478278399481ac9f1d4f0fa0d7404,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00089206,0.30597658,463.38,,,Deposit
0xa8359e7b213160f4bd0e1d22e6ff9fbe286aa12f8af00435be643530e8ca95da,14283684,1641939122,1/11/2022 22:12,0x69bc73707a9e91a49dac9847369340e6c8545dae,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0x42690c56f088a045ff4156fc351fea59b024d0c20cf1fc9c88bc593699c14db3,14283689,1641939137,1/11/2022 22:12,0x0ce390ec4533d9afbb7280037d61b8c8dcaa6696,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.00168716,0.57869588,463.38,,,Deposit
0xdd1d9bca3b89568dbec1d2a7d7bb9d051b81dc2a7ca2de011d7bc799d0d0c525,14283691,1641939143,1/11/2022 22:12,0xefcc5406d1354d668a25a418629cd83c2d185aea,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0x9dca3f166da223f390e0531bc7c8c5fa928170aa3f27848d92ab6e239a7a9800,14283692,1641939146,1/11/2022 22:12,0xefcc5406d1354d668a25a418629cd83c2d185aea,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0xf4396f6830a9b4a2d6b71a4e95d6ee8d8060a43211c4b6c06d1b4d22dc55ee75,14283722,1641939236,1/11/2022 22:13,0x484bfcbacc65a6019943b2ba4bcd69a1a2b72e59,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000308975,0.105978425,463.38,,,Mass Stake Reward
0x41a5efdb862d1f56fe3235cbb0b427cb1193be0d4e22f18de4e47eee5f93f71b,14283736,1641939278,1/11/2022 22:14,0x484bfcbacc65a6019943b2ba4bcd69a1a2b72e59,0x70873211cb64c1d4ec027ea63a399a7d07c4085b,,0,0,0,0.000108835,0.037330405,463.38,,,Mass Harvest
