"HolderAddress","Balance","PendingBalanceUpdate"
"0x421fa1e0f040757bc75438711c66917ecf2c95de","2E-18","No"
"0x4282a9c1e5d6281a508b4baed79ec033a38efdf9","1E-18","No"
"0x42842c35329e504141e482cd0e30884fc5616aac","1E-18","No"
"0x4291ab8a26efdf45a89f1b4ba2aad8229a778a9b","1E-18","No"
"0x4320cbd95f388906de09e443e9eb867bcad41eb2","1E-18","No"
"0x4324cb6033dc536ff3d5e80be84e59940ebfebbb","1E-18","No"
"0x432ff38bf48b6af6cf99d5ecc041b8edc229368a","1E-18","No"
"0x4342fb98e5187985ee84c6573f62785b997c2ded","2E-18","No"
"0x43e963487cd3599e8f58cfe9e34b2eed59451e97","1E-18","No"
"0x45193d361865c847cda5c5cec9da168771446deb","68","No"
"0x451d75310ac169921871a6502c40ea231732e233","1E-18","No"
"0x45c1fc4cfd0e1d7930f6845e84a773b511553584","1E-18","No"
"0x45edb8fe5385ccd2d956c4b98dcd51c95b5f855a","1E-18","No"
"0x4699952a7d3182319660e219156ae0fcb84742b3","2E-18","No"
"0x46c5e35cb03e76abad0e2179f868926fa402bab6","220","No"
"0x47033ecfe823eef042f9baab15e9e5fa5f28d43a","2E-18","No"
"0x47340123e0b494d1bb490816b4cac53a3d72d2f8","1E-18","No"
"0x47417c04607445401d54b68e644ef76c67dbf0c1","2E-18","No"
"0x476d20cbba6dd37c828558aa104ae3fd2b34387e","1E-18","No"
"0x4770cd578451b0f546d84177d58c06c46d2a52b9","2E-18","No"
"0x47d390d7e5cd8c8d2b8fef9c2a6ef308c6584be0","1E-18","No"
"0x484bfcbacc65a6019943b2ba4bcd69a1a2b72e59","1E-18","No"
"0x487b16d67c52aa58b1c4d610aef5b83c2209447b","1E-18","No"
"0x489c4bdc25371edd4d8ea606b716893cd4578c47","2E-18","No"
"0x489d36bbc9cb1201a18e42b653b59bab6cd5bc0a","2E-18","No"
"0x48a16aefc6b19c822a7dca55349151d12a0eecad","2E-18","No"
"0x48e3d8c5da4fc06ebae5faab5a78d08c3a8c4de4","2E-18","No"
"0x48efd5a4fac62512645b471eb14ff7296cc002db","1E-18","No"
"0x4925de66fa9f53aa69421ed92b4d2ebc13a688d0","1E-18","No"
"0x4932d7e73f1cf255ba85f68895d7a95771b767ba","2E-18","No"
"0x49373c9b31644bae4bb62c13e5fb8ba237b4256b","2E-18","No"
"0x49ae3f1423d5ac1d3846921ecc93f4f78161cd99","1E-18","No"
"0x4a2fefdfe2ea271d401aa934e4385bf580f774f1","1E-18","No"
"0x4a3bb151ac39a46349fd99f4c473a15a6a567d38","333.333333333333","No"
"0x4a51f3c0798a039ac622e07c6844a582c09a1345","2E-18","No"
"0x4a8784e30f2922170c92735389aea8291057bdb2","2E-18","No"
"0x4ac9abab24a2072db4282dcbfec8c804028fb207","1E-18","No"
"0x4b3f84e844d93cbc4b00768d43cd2403a7f823ae","54","No"
"0x4bb3405adcf63253370e232520d2eedf7489c538","1E-18","No"
"0x4c0feb2af55daec24117c73521545495276b9265","16.6666666666667","No"
"0x4c309178667477237367c993c1357f575654cba0","33.3333333333333","No"
"0x4c6fe571e30c84c7f63cef2a84e31666c07e2872","1E-18","No"
"0x4c7b7ec3686af1270a3473fc592406156965b6e3","1E-18","No"
"0x4c89dcd8238206f7317ce6727da07571277f6af2","1E-18","No"
"0x4c9da991a9a91c161f3c194d617ed7016cda611e","1E-18","No"
"0x4cc9d950f296bff3f59fe29b5b09ca28a846c979","1E-18","No"
"0x4e52c07a9a699e68694c2c34a8d8cb6cf5401769","2E-18","No"
"0x4e6a93caa0dab50f86f17895ddef4f2e470a443c","1E-18","No"
"0x4e749c4f2a9c51b24c0d00cfe879fdb3fc7a4ff6","2E-18","No"
"0x4e8910eee1d630029720116eb354a1e0869981a9","1E-18","No"
"0x4ec38e6c27f5919fb55cb1042c4871755ae7ba3d","1E-18","No"
"0x4eed1931ae3434bf580479330ee8cd5195e9ba52","2E-18","No"
"0x4f4692720b1e046e554409b99ef261efd5ec8eaf","1E-18","No"
"0x4f4b8d21f5690c00abebe8f5b2f8db421b275783","1E-18","No"
"0x4ffa26d0c5bf572a599cc77e04703ba93e4863b3","2E-18","No"
"0x501a42174a27896cb53bb5bb8c4dbfaee6b870c1","1E-18","No"
"0x50738f45aeb503157f2ed8eedfb417dc30849f7c","1E-18","No"
"0x509228837c4f1b3324910379e468668cfe65b88f","1E-18","No"
"0x51e517b038e8a4025f4f23912bee971a38589b37","1E-18","No"
"0x51f130408c88447bff2eeed419ee2e2d196c3b9e","1E-18","No"
"0x521790ae748be07ec446cafdb4158e2bc466268f","1E-18","No"
"0x522e8eb2ec3ba5b08b958ac7143faf255ffa33e2","1E-18","No"
"0x53d1a40476cfc31e83e08b8fb651facb31d24576","2E-18","No"
"0x53f477a6ba1a00e48c0d8a272298360d76c312e0","20","No"
"0x543ea836aa5c465878116fdaf247b265265ab064","1E-18","No"
"0x54720c057ff33dfef6699e9d57db59933d534d54","1E-18","No"
"0x547e39b1e531d58c0a25a07aa9a932d722c73ae2","2E-18","No"
"0x552672befa178bb28d9d0f0161079a0a7dac939e","1E-18","No"
"0x554ac8bcdb8eb64b7d5fb9e7d50c907f57fa3b07","166.666666666667","No"
"0x5551b6e3bc37d125274b8556f42ea5885348242f","2E-18","No"
"0x55b4a6820f13688c734e0e9142e1cf63bc526661","1E-18","No"
"0x566f53ed81935a8b7fb5815dbd4eb3ec9e9c76e8","1E-18","No"
"0x56ad85b3a08ba7f23c5db70280f2e84a3fad2cfa","1E-18","No"
"0x56cdf5efd539f343fcafde2bd35cb977dfe1a950","374.666666666667","No"
"0x56f0b2f4e7cdccff566ca2f412253ed0928a2395","1E-18","No"
"0x571f32b55db744f99cd78bb1819ad9e317c97d42","1E-18","No"
"0x58036a652d493e1de7b2b5d5860e8f4eef5b6ce8","1E-18","No"
"0x58775c83f4846bc0c1e8d0d927ddfdf4bb6dbdea","2E-18","No"
"0x58af334b9aa6775c4cf53a7e5782f416a8e915d6","2E-18","No"
"0x58c537ae3995369ff2f191fd7d240ad9b4c7e7d1","1E-18","No"
"0x593ab301f24337b904da57799241b57b2d613fb4","2E-18","No"
"0x596514ca2ffe56b96bb1b59c19b32da781ddd934","1E-18","No"
"0x596fe1a7321cfb32d2a4626a45525a6b91073df0","10","No"
"0x59b2447469eab87b1a501c7dbea4931ddc386fde","1E-18","No"
"0x59c9d049149d99dd524e068b6e457c9dd4228ac8","2E-18","No"
"0x5abefb43dd981de409e58b13d7ad299d0b6f693f","1E-18","No"
"0x5b14b9cbad1b562089e230d7f7cc1b3ed4356fd0","2E-18","No"
"0x5c64461798fe85f4fa768755767c9d920a3cc791","1E-18","No"
"0x5c8ef70e0313004f79bd780f38575f899e448af5","1E-18","No"
"0x5cb6eca18d1514300e3f7a49334bcdcc4d7c3273","2E-18","No"
"0x5cfc938f972ff50af166b191e407440fe4aff9bb","1E-18","No"
